law_code	law_name	book	chapter	article_number	text
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	498	ماده 498- هر کس با هر مرامی، دسته، جمعیت یا شعبه جمعیتی بیش از دو نفر در داخل یا خارج از کشور تحت هر اسم یا عنوانی تشکیل دهد یا اداره نماید که هدف آن برهم زدن امنیت کشور باشد و محارب شناخته نشود به حبس از دو تا ده سال محکوم می‌شود.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	499	ماده 499- هر کس در یکی از دسته‌ها یا جمعیت‌ها یا شعب جمعیت‌های مذکور در ماده (498) عضویت یابد به سه ماه تا پنج سال حبس محکوم می‌گردد مگر اینکه ثابت شود از اهداف آن بی‌اطلاع بوده است.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	499	ماده 499- هر کس با قصد ایجاد خشونت یا تنش در جامعه و یا با علم به وقوع آن به قومیت‌های ایرانی یا ادیان الهی یا مذاهب اسلامی مصرح در قانون اساسی توهین نماید، چنانچه مشمول حد نباشد و منجر به خشونت یا تنش شده باشد به حبس و جزای نقدی درجه پنج یا یکی از آن دو محکوم و در غیر این صورت به حبس و جزای نقدی درجه شش یا یکی از آن دو محکوم می‌شود. تبصره 1- منظور از توهین موارد مندرج در «قانون استفساریه نسبت به کلمه اهانت، توهین و یا هتک حرمت مندرج در مقررات جزایی مواد (513)، (514)، (608) و (609) قانون مجازات اسلامی و بندهای (7) و (8) ماده (6) و مواد (26) و (27) قانون مطبوعات مصوب 1379/10/4» می‌باشد. تبصره 2- چنانچه جرم موضوع این ماده در قالب گروه مجرمانه سازمان‌یافته ارتکاب یابد و یا از سوی مأموران یا مستخدمان دولتی یا عمومی در حین انجام وظیفه یا به مناسبت آن واقع شود و یا از طریق نطق در مجامع عمومی یا با استفاده از ابزارهای ارتباط جمعی در فضای واقعی یا مجازی منتشر شود، مجازات مقرر به میزان یک درجه تشدید می‌شود.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	500	ماده 500- هر کس علیه نظام جمهوری اسلامی ایران یا به نفع گروه‌ها و سازمان‌های مخالف نظام به هر نحو فعالیت تبلیغی نماید به حبس از سه ماه تا یکسال محکوم خواهد شد.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	500	ماده 500- هر کس در قالب فرقه، گروه، جمعیت یا مانند آن و استفاده از شیوه‌های کنترل ذهن و القائات روانی در فضای واقعی یا مجازی مرتکب اقدامات زیر گردد، چنانچه رفتار وی مشمول حد نباشد، به حبس و جزای نقدی درجه پنج یا یکی از این دو مجازات و محرومیت از حقوق اجتماعی درجه پنج محکوم می‌گردد. مجازات سردستگی فرقه یا گروه مزبور مطابق ماده (130) قانون مجازات اسلامی مصوب 1392/2/1 تعیین می‌شود: 1- هر اقدامی که موجب تسلط روانی یا جسمی بر دیگری شود به نحوی که فرد مورد بهره‌کشی و سوء استفاده جنسی، جسمی یا مالی واقع شود و یا در اثر آسیب‌رسانی به قدرت تصمیم‌گیری فرد و تشویق وی به ارتکاب جرایمی از قبیل اعمال منافی عفت، مصرف مشروبات الکلی، مواد مخدر و یا مواد روان‌گردان، خودآزاری یا دیگرزنی، فرد مرتکب این اقدامات گردد. 2- هر گونه فعالیت آموزشی و یا تبلیغی انحرافی مغایر و یا مخل به شرع مقدس اسلام از طرقی مانند طرح ادعاهای واهی و کذب در حوزه‌های دینی و مذهبی از قبیل ادعای الوهیت، نبوت یا امامت و یا ارتباط با پیامبران یا ائمه اطهار (علیهم السلام) تبصره 1- تأمین مالی و یا هر نوع حمایت مادی دیگر از گروه‌های موضوع این ماده با آگاهی از ماهیت آن‌ها موجب محکومیت به حبس درجه پنج و جزای نقدی معادل دو تا پنج برابر ارزش کمک‌های مالی و حمایت‌های مادی ارایه شده می‌باشد. چنانچه مرتکب شخص حقوقی باشد به انحلال و پرداخت جزای نقدی مذکور محکوم می‌گردد. تبصره 2- ارتباط گروه‌های موضوع این ماده با خارج از کشور برای دریافت حمایت یا هدایت‌های تشکیلاتی موجب تشدید مجازات مقرر به میزان یک درجه می‌گردد. تبصره 3- اموال سر دسته‌ها و اشخاص تأمین کننده مالی گروه‌های موضوع این ماده که ناشی از جرم بوده یا برای ارتکاب جرم استفاده یا به این منظور تهیه شده باشد و اموال متعلق به گروه‌های مزبور به نفع بیت المال مصادره می‌گردد. در صورتی که مشخص شود اموال متعلق به دیگری بوده یا دیگری نسبت به آن صاحب حق باشد و آن اموال به منظور انجام افعال مجرمانه در اختیار اشخاص و گروه‌های مذکور قرار نگرفته باشد، اموال مزبور به مالک یا صاحب حق مسترد و مرتکب معادل ارزش آن به جزای نقدی محکوم می‌شود، و یا چنانچه مشخص شود مجرم نسبت به دیگری دین حال دارد و اموال استفاده شده در ارتکاب جرم یا تهیه شده به منظور ارتکاب جرم، متعلق به خود او است و ناشی از جرم نیست، اموال وی معادل ارزش دین حال به طلبکار یا طلبکاران مسترد و مجرم معادل ارزش اموال مسترد شده به جزای نقدی محکوم می‌شود. تبصره 4- امور آموزشی و پژوهشی و سایر اقدامات مشابه به منظور رد و طرد و پاسخگویی به شبهات و نقد عقاید گروه‌های موضوع این ماده از شمول حکم این ماده و ماده (499 مکرر) این قانون خارج است.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	501	ماده 501- هر کس نقشه ها یا اسرار یا اسناد و تصمیمات راجع به سیاست داخلی یا خارجی کشور را عالما و عامدا در اختیار افرادی که صلاحیت دسترسی به آن‌ها را ندارند قرار دهد یا از مفاد آن مطلع کند به نحوی که متضمن نوعی جاسوسی باشد، نظر به کیفیات و مراتب جرم به یک تا ده سال‌ حبس محکوم می‌شود.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	502	ماده 502- هر کس به نفع یک دولت بیگانه و به ضرر دولت بیگانه دیگر در قلمرو ایران مرتکب یکی از جرایم جاسوسی شود بنحوی که به امنیت ملی صدمه وارد نماید به یک تا پنج سال حبس محکوم خواهد شد.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	503	ماده 503- هر کس به قصد سرقت یا نقشه‌برداری یا کسب اطلاع از اسرار سیاسی یا نظامی یا امنیتی به مواضع مربوطه داخل شود و همچنین اشخاصی که بدون اجازه مأمورین یا مقامات ذی‌صلاح در حال نقشه‌برداری یا گرفتن فیلم یا عکسبرداری از استحکامات نظامی یا اماکن ممنوعه دستگیر‌ شوند به شش ماه تا سه سال حبس محکوم می‌شوند.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	504	ماده 504- هر کس نیروهای رزمنده یا اشخاصی را که به نحوی در خدمت نیروهای مسلح هستند تحریک موثر به عصیان، فرار، تسلیم یا عدم اجرای وظایف نظامی کند در صورتی که قصد براندازی حکومت یا شکست نیروهای خودی در مقابل دشمن را داشته باشد محارب محسوب می‌شود و الا چنانچه اقدامات وی موثر واقع شود به حبس از دو تا ده سال و در غیر این صورت به شش ماه تا سه ساله حبس محکوم می‌شود.
mojazat_eslami_75	قانون مجازات اسلامی مصوب 1375	کتاب پنجم- قانون مجازات اسلامی(تعزیرات و مجازات‌های بازدارنده)	فصل اول- جرایم ضد امنیت داخلی و خارجی کشور	505	ماده 505- هر کس با هدف برهم زدن امنیت کشور به هر وسیله اطلاعات طبقه بندی شده را با پوشش مسوولین نظام یا مأمورین دولت یا به نحو دیگر جمع آوری کند چنانچه بخواهد آن را در اختیار دیگران قرار دهد و موفق به انجام آن شود به حبس از دو تا ده سال و در غیر این صورت به حبس از یک تا پنج سال محکوم می‌شود.
